district_name,Month,cards_afsc,cards_fsc,cards_aap,cards_total,units_afsc,units_fsc,units_aap,units_total,rice_req_afsc,rice_req_fsc,rice_req_aap,rice_req_total,op_bal_rice_afsc,op_bal_rice_fsc,op_bal_rice_aap,op_bal_rice_total,qty_rice_toallocate_afsc,qty_rice_toallocate_fsc,qty_rice_toallocate_aap,qty_rice_toallocate_total,%partial_allot,%partial_allot_afsc,%partial_allot_fsc,%partial_allot_aap,%partial_allot_total,%final_allot,fin_allot_afsc,fin_allot_fsc,fin_allot_aap,fin_allot_total,,
Hyderabad,"December, 2015",43196,776381,394,819971,103268,2706562,434,2810264,1511860,16239372,3940,17755172,79087,1229646,70,1308803,1432773,15009726,3870,16446369,75,1133876,12179527,3006,13316409,25,298897,2830199,864,3129960,-1212963,-14625212
Karimnagar,"December, 2015",67587,1027875,664,1096126,178070,2977059,684,3155813,2365545,17862354,6640,20234539,1470,72751,60,74281,2364075,17789603,6580,20160258,0,0,0,0,0,100,2364075,17789603,6580,20160258,-1470,-74281
Khammam,"December, 2015",46749,681779,8,728536,126315,1957777,10,2084102,1636215,11746662,80,13382957,2030,108013,0,110043,1634185,11638649,80,13272914,0,0,0,0,0,100,1634185,11638649,80,13272914,-2030,-110043
Mahbubnagar,"December, 2015",70956,996909,573,1068438,190285,3423218,634,3614137,2483460,20539308,5730,23028498,438,41087,10,41535,2483022,20498221,5720,22986963,0,0,0,0,0,100,2483022,20498221,5720,22986963,-438,-41535
Medak,"December, 2015",54610,737782,194,792586,145881,2400580,200,2546661,1911350,14403480,1940,16316770,294,62540,0,62834,1911056,14340940,1940,16253936,0,0,0,0,0,100,1911056,14340940,1940,16253936,-294,-62834
Nalgonda,"December, 2015",62014,932474,127,994615,163662,2777196,129,2940987,2170490,16663176,1270,18834936,3500,220578,0,224078,2166990,16442598,1270,18610858,0,0,0,0,0,100,2166990,16442598,1270,18610858,-3500,-224078
Nizamabad,"December, 2015",39135,590506,1755,631396,107825,2010638,1770,2120233,1369725,12063828,17550,13451103,1085,36432,0,37517,1368640,12027396,17550,13413586,0,0,0,0,0,100,1368640,12027396,17550,13413586,-1085,-37517
Ranga Reddy,"December, 2015",63363,530339,114,593816,171681,1804367,141,1976189,2217705,10826202,1140,13045047,4130,236405,0,240535,2213575,10589797,1140,12804512,0,0,0,0,0,100,2213575,10589797,1140,12804512,-4130,-240535
Ranga Reddy,"December, 2015",14224,566974,20,581218,32356,1891213,23,1923592,497840,11347278,200,11845318,10324,618750,0,629074,487516,10728528,200,11216244,75,373372,8510466,158,8883996,25,114144,2218062,42,2332248,-383696,-9513070
Warangal,"December, 2015",58810,927527,75,986412,160236,2799254,93,2959583,2058350,16795524,750,18854624,245,86143,0,86388,2058105,16709381,750,18768236,0,0,0,0,0,100,2058105,16709381,750,18768236,-245,-86388
Total,"December, 2015",572832,8459642,4382,9036856,1543381,26962240,4585,28510206,20049120,161773440,43820,181866380,102673,2747274,140,2850087,19946447,159026166,43680,179016293,,1507248,20689993,3164,22200405,,18439199,138336173,40516,156815888,-1609921,-25050492
Adilabad,"January, 2016",52196,692173,483,744852,163855,2221422,490,2385767,1826860,13328532,4830,15160222,70,22712,0,22782,1826790,13305820,4830,15137440,0,0,0,0,0,100,1826790,13305820,4830,15137440,-70,-22782
Hyderabad,"January, 2016",43295,778944,409,822648,103601,2724039,446,2828086,1515325,16344234,4090,17863649,65498,1182562,57,1248117,1449827,15161672,4033,16615532,75,1136476,12258163,3119,13397758,25,313351,2903509,914,3217774,-1201974,-14645875
Karimnagar,"January, 2016",67627,1030089,677,1098393,178225,2989917,694,3168836,2366945,17939502,6770,20313217,1832,56494,10,58336,2365113,17883008,6760,20254881,0,0,0,0,0,100,2365113,17883008,6760,20254881,-1832,-58336
Khammam,"January, 2016",46845,682914,8,729767,126619,1962520,10,2089149,1639575,11775120,80,13414775,1540,104043,0,105583,1638035,11671077,80,13309192,0,0,0,0,0,100,1638035,11671077,80,13309192,-1540,-105583
Mahbubnagar,"January, 2016",71008,1000009,606,1071623,190605,3445781,663,3637049,2485280,20674686,6060,23166026,175,44321,0,44496,2485105,20630365,6060,23121530,0,0,0,0,0,100,2485105,20630365,6060,23121530,-175,-44496
Medak,"January, 2016",54653,739202,230,794085,146051,2411982,238,2558271,1912855,14471892,2300,16387047,434,52359,0,52793,1912421,14419533,2300,16334254,0,0,0,0,0,100,1912421,14419533,2300,16334254,-434,-52793
Nalgonda,"January, 2016",62087,934520,127,996734,164010,2794076,129,2958215,2173045,16764456,1270,18938771,2375,165018,0,167393,2170670,16599438,1270,18771378,0,0,0,0,0,100,2170670,16599438,1270,18771378,-2375,-167393
Nizamabad,"January, 2016",39496,590952,1861,632309,108760,2020118,1876,2130754,1382360,12120708,18610,13521678,245,31322,0,31567,1382115,12089386,18610,13490111,0,0,0,0,0,100,1382115,12089386,18610,13490111,-245,-31567
Ranga Reddy,"January, 2016",63407,531619,166,595192,171770,1812054,193,1984017,2219245,10872324,1660,13093229,4049,202615,0,206664,2215196,10669709,1660,12886565,0,0,0,0,0,100,2215196,10669709,1660,12886565,-4049,-206664
Ranga Reddy,"January, 2016",14239,568035,23,582297,32422,1898743,27,1931192,498365,11392458,230,11891053,10259,632519,0,642778,488106,10759939,230,11248275,75,373771,8544343,182,8918296,25,114335,2215596,48,2329979,-384030,-9561074
Warangal,"January, 2016",58811,928777,86,987674,160259,2805746,100,2966105,2058385,16834476,860,18893721,398,74624,0,75022,2057987,16759852,860,18818699,0,0,0,0,0,100,2057987,16759852,860,18818699,-398,-75022
Total,"January, 2016",573664,8477234,4676,9055574,1546177,27086398,4866,28637441,20078240,162518388,46760,182643388,86875,2568589,67,2655531,19991365,159949799,46693,179987857,,1510247,20802506,3301,22316054,,18481118,139147293,43392,157671803,-1597122,-24971585
Adilabad,"January, 2017",12926,168411,273,181610,39796,588342,278,628416,452410,3530052,2730,3985192,35,7250,0,7285,452375,3522802,2730,3977907,0,0,0,0,0,100,452375,3522802,2730,3977907,-35,-7285
Kumarambheem,"January, 2017",12096,123466,23,135585,40257,422667,26,462950,423360,2536002,230,2959592,0,27921,0,27921,423360,2508081,230,2931671,0,0,0,0,0,100,423360,2508081,230,2931671,0,-27921
Jayashankar,"January, 2017",17112,189033,44,206189,43761,551434,44,595239,598920,3308604,440,3907964,35,9010,0,9045,598885,3299594,440,3898919,0,0,0,0,0,100,598885,3299594,440,3898919,-35,-9045
Jogulamba Gadwal,"January, 2017",10173,140832,142,151147,27107,496616,147,523870,356055,2979696,1420,3337171,0,5898,0,5898,356055,2973798,1420,3331273,0,0,0,0,0,100,356055,2973798,1420,3331273,0,-5898
Hyderabad,"January, 2017",33893,547637,287,581817,85802,2059225,298,2145325,1186255,12355350,2870,13544475,144256,1301447,622,1446325,1041999,11053903,2248,12098150,0,0,0,0,0,100,1041999,11053903,2248,12098150,-144256,-1446325
Jagityal,"January, 2017",14695,275786,170,290651,38029,801041,176,839246,514325,4806246,1700,5322271,352,11547,0,11899,513973,4794699,1700,5310372,0,0,0,0,0,100,513973,4794699,1700,5310372,-352,-11899
Janagaon,"January, 2017",10628,152101,107,162836,32011,482585,113,514709,371980,2895510,1070,3268560,35,12259,0,12294,371945,2883251,1070,3256266,0,0,0,0,0,100,371945,2883251,1070,3256266,-35,-12294
Kamareddy,"January, 2017",16425,228527,1087,246039,46690,808428,1102,856220,574875,4850568,10870,5436313,0,7465,0,7465,574875,4843103,10870,5428848,0,0,0,0,0,100,574875,4843103,10870,5428848,0,-7465
Karimnagar,"January, 2017",16012,254620,50,270682,41807,768153,51,810011,560420,4608918,500,5169838,700,14596,10,15306,559720,4594322,490,5154532,0,0,0,0,0,100,559720,4594322,490,5154532,-700,-15306
Khammam,"January, 2017",26578,368102,2,394682,72235,1049061,4,1121300,930230,6294366,20,7224616,2799,78453,0,81252,927431,6215913,20,7143364,0,0,0,0,0,100,927571,6216549,20,7144140,-2659,-80476
Bhadrdri Kothagudem,"January, 2017",17580,257330,4,274914,46867,769176,4,816047,615300,4615056,40,5230396,3402,84548,0,87950,611898,4530508,40,5142446,0,0,0,0,0,100,611898,4530508,40,5142446,-3402,-87950
Mahabubabad,"January, 2017",14692,215576,2,230270,40120,657965,5,698090,514220,3947790,20,4462030,245,14098,0,14343,513975,3933692,20,4447687,0,0,0,0,0,100,513975,3933692,20,4447687,-245,-14343
Mahbubnagar,"January, 2017",27454,338258,257,365969,71265,1213796,295,1285356,960890,7282776,2570,8246236,210,9588,0,9798,960680,7273188,2570,8236438,0,0,0,0,0,100,960680,7273188,2570,8236438,-210,-9798
Manchiryala,"January, 2017",15061,197343,192,212596,46212,594606,193,641011,527135,3567636,1920,4096691,0,9620,0,9620,527135,3558016,1920,4087071,0,0,0,0,0,100,527135,3558016,1920,4087071,0,-9620
Medak,"January, 2017",13012,194559,87,207658,34596,648560,88,683244,455420,3891360,870,4347650,0,8315,0,8315,455420,3883045,870,4339335,0,0,0,0,0,100,455420,3883045,870,4339335,0,-8315
Medchal,"January, 2017",18394,458071,111,476576,45616,1521186,114,1566916,643790,9127116,1110,9772016,57291,1309031,60,1366382,586499,7818085,1050,8405634,0,0,0,0,0,100,586499,7818085,1050,8405634,-57291,-1366382
Nagarkarnool,"January, 2017",17011,210312,42,227365,47043,696938,46,744027,595385,4181628,420,4777433,175,7835,0,8010,595210,4173793,420,4769423,0,0,0,0,0,100,595210,4173793,420,4769423,-175,-8010
Nalgonda,"January, 2017",28944,419689,77,448710,74565,1284803,78,1359446,1013040,7708818,770,8722628,1695,81456,0,83151,1011345,7627362,770,8639477,0,0,0,0,0,100,1011345,7627362,770,8639477,-1695,-83151
Nirmal,"January, 2017",11754,187334,36,199124,36492,605885,36,642413,411390,3635310,360,4047060,0,2766,0,2766,411390,3632544,360,4044294,0,0,0,0,0,100,411390,3632544,360,4044294,0,-2766
Nizamabad,"January, 2017",19961,354091,1120,375172,54960,1197601,1145,1253706,698635,7185606,11200,7895441,1382,19160,0,20542,697253,7166446,11200,7874899,0,0,0,0,0,100,697253,7166446,11200,7874899,-1382,-20542
Peddapalli,"January, 2017",12432,198938,180,211550,33837,587122,186,621145,435120,3522732,1800,3959652,490,10091,10,10591,434630,3512641,1790,3949061,0,0,0,0,0,100,434630,3512641,1790,3949061,-490,-10591
Ranga Reddy,"January, 2017",35550,481397,45,516992,93309,1627331,57,1720697,1244250,9763986,450,11008686,48106,746593,0,794699,1196144,9017393,450,10213987,0,0,0,0,0,100,1196144,9017381,450,10213975,-48106,-794711
Sangareddy,"January, 2017",27141,332517,118,359776,70988,1125183,121,1196292,949935,6751098,1180,7702213,224,22066,0,22290,949711,6729032,1180,7679923,0,0,0,0,0,100,949711,6729032,1180,7679923,-224,-22290
Siddipet,"January, 2017",18874,262343,90,281307,52469,835284,91,887844,660590,5011704,900,5673194,280,20467,0,20747,660310,4991237,900,5652447,0,0,0,0,0,100,660310,4991237,900,5652447,-280,-20747
Rajanna Siricilla,"January, 2017",13705,153480,222,167407,36432,455983,226,492641,479675,2735898,2220,3217793,570,6816,40,7426,479105,2729082,2180,3210367,0,0,0,0,0,100,479105,2729082,2180,3210367,-570,-7426
Suryapet,"January, 2017",18819,287950,50,306819,50343,852222,51,902616,658665,5113332,500,5772497,1260,60413,0,61673,657405,5052919,500,5710824,0,0,0,0,0,100,657405,5055419,500,5713324,-1260,-59173
Vikarabad,"January, 2017",27339,205724,42,233105,75668,735338,48,811054,956865,4412028,420,5369313,0,0,0,0,956865,4412028,420,5369313,0,0,0,0,0,100,5845,21365,0,27210,-951020,-5342103
Wanaparthy,"January, 2017",9825,140023,122,149970,28691,478287,131,507109,343875,2869722,1220,3214817,0,0,0,0,343875,2869722,1220,3214817,0,0,0,0,0,100,1470,17394,40,18904,-342405,-3195913
Warangal,"January, 2017",12172,239631,23,251826,33913,730774,24,764711,426020,4384644,230,4810894,70,20981,0,21051,425950,4363663,230,4789843,0,0,0,0,0,100,425950,4363663,230,4789843,-70,-21051
Warangal Rural,"January, 2017",12203,205583,15,217801,31735,619875,18,651628,427105,3719250,150,4146505,105,24003,0,24108,427000,3695247,150,4122397,0,0,0,0,0,100,427000,3695247,150,4122397,-105,-24108
Yadadri Bhuvanagiri,"January, 2017",13233,191266,2,204501,35927,606684,2,642613,463155,3640104,20,4103279,1395,25154,0,26549,461760,3614950,20,4076730,0,0,0,0,0,100,461760,3614950,20,4076730,-1395,-26549
Total,"January, 2017",555694,7979930,5022,8540646,1508543,25872151,5198,27385892,19449290,155232906,50220,174732416,265112,3958847,742,4224701,19184178,151274059,49478,170507715,,0,0,0,0,,17890893,144034192,47878,161972963,-1558397,-12759453
Adilabad,"January, 2018",12920,168767,277,181964,39779,592803,282,632864,452200,3556818,2770,4011788,70,4364,0,4434,452130,3552454,2770,4007354,0,0,0,0,0,100,452130,3552454,2770,4007354,-70,-4434
Bhadrdri Kothagudem,"January, 2018",17575,257940,4,275519,46831,771396,4,818231,615125,4628376,40,5243541,1645,82458,0,84103,613480,4545918,40,5159438,0,0,0,0,0,100,613480,4545918,40,5159438,-1645,-84103
Hyderabad,"January, 2018",30617,524165,1429,556211,81171,2001858,1455,2084484,1071595,12011148,14290,13097033,160158,1271923,3210,1435291,911437,10739225,11080,11661742,0,0,0,0,0,100,911437,10739225,11080,11661742,-160158,-1435291
Jagityal,"January, 2018",14679,276172,168,291019,37974,804608,174,842756,513765,4827648,1680,5343093,14154,265532,150,279836,499611,4562116,1530,5063257,0,0,0,0,0,100,499611,4562116,1530,5063257,-14154,-279836
Janagaon,"January, 2018",10611,152201,104,162916,31951,482440,110,514501,371385,2894640,1040,3267065,36289,512308,224,548821,335096,2382332,816,2718244,0,0,0,0,0,100,335096,2382332,816,2718244,-36289,-548821
Jayashankar,"January, 2018",17095,190403,44,207542,43709,556390,44,600143,598325,3338340,440,3937105,69789,423852,50,493691,528536,2914488,390,3443414,0,0,0,0,0,100,528536,2914488,390,3443414,-69789,-493691
Jogulamba Gadwal,"January, 2018",10162,141596,143,151901,27143,502236,148,529527,355670,3013416,1430,3370516,70,5875,0,5945,355600,3007541,1430,3364571,0,0,0,0,0,100,355600,3007541,1430,3364571,-70,-5945
Kamareddy,"January, 2018",16312,228783,1093,246188,46475,812930,1110,860515,570920,4877580,10930,5459430,22935,276180,1715,300830,547985,4601400,9215,5158600,0,0,0,0,0,100,547985,4601400,9215,5158600,-22935,-300830
Karimnagar,"January, 2018",15992,254894,50,270936,41752,770115,51,811918,559720,4620690,500,5180910,26034,460336,110,486480,533686,4160354,390,4694430,0,0,0,0,0,100,533686,4160354,390,4694430,-26034,-486480
Khammam,"January, 2018",26582,369245,2,395829,72235,1053357,4,1125596,930370,6320142,20,7250532,29605,641701,0,671306,900765,5678441,20,6579226,0,0,0,0,0,100,900765,5678441,20,6579226,-29605,-671306
Kumarambheem,"January, 2018",12094,123557,23,135674,40254,423481,26,463761,423290,2540886,230,2964406,0,44663,0,44663,423290,2496223,230,2919743,0,0,0,0,0,100,423290,2496223,230,2919743,0,-44663
Mahabubabad,"January, 2018",14681,216948,2,231631,40089,662212,5,702306,513835,3973272,20,4487127,101055,1082741,0,1183796,412780,2890531,20,3303331,0,0,0,0,0,100,412780,2890531,20,3303331,-101055,-1183796
Mahbubnagar,"January, 2018",27998,341775,270,370043,73115,1228435,313,1301863,979930,7370610,2700,8353240,124237,1030725,504,1155466,855693,6339885,2196,7197774,0,0,0,0,0,100,855693,6339885,2196,7197774,-124237,-1155466
Manchiryala,"January, 2018",15050,197324,192,212566,46158,594418,193,640769,526750,3566508,1920,4095178,0,12822,0,12822,526750,3553686,1920,4082356,0,0,0,0,0,100,526750,3553686,1920,4082356,0,-12822
Medak,"January, 2018",13011,194423,87,207521,34495,646781,88,681364,455385,3880686,870,4336941,20140,292329,110,312579,435245,3588357,760,4024362,0,0,0,0,0,100,435245,3588357,760,4024362,-20140,-312579
Medchal,"January, 2018",18342,461243,112,479697,45748,1544318,115,1590181,641970,9265908,1120,9908998,106259,1435672,510,1542441,535711,7830236,610,8366557,0,0,0,0,0,100,535711,7830236,610,8366557,-106259,-1542441
Nagarkarnool,"January, 2018",17036,211546,42,228624,47171,701535,46,748752,596260,4209210,420,4805890,0,7384,0,7384,596260,4201826,420,4798506,0,0,0,0,0,100,596260,4201826,420,4798506,0,-7384
Nalgonda,"January, 2018",28945,420868,73,449886,74622,1293607,74,1368303,1013075,7761642,730,8775447,700,85545,0,86245,1012375,7676097,730,8689202,0,0,0,0,0,100,1012375,7676097,730,8689202,-700,-86245
Nirmal,"January, 2018",11752,187603,35,199390,36466,607046,35,643547,411320,3642276,350,4053946,0,9819,0,9819,411320,3632457,350,4044127,0,0,0,0,0,100,411320,3632457,350,4044127,0,-9819
Nizamabad,"January, 2018",19912,355620,1147,376679,54931,1207015,1175,1263121,696920,7242090,11470,7950480,20044,389900,1017,410961,676876,6852190,10453,7539519,0,0,0,0,0,100,676876,6852190,10453,7539519,-20044,-410961
Peddapalli,"January, 2018",12416,199771,184,212371,33817,591515,191,625523,434560,3549090,1840,3985490,32453,440250,274,472977,402107,3108840,1566,3512513,0,0,0,0,0,100,402107,3108840,1566,3512513,-32453,-472977
Rajanna Siricilla,"January, 2018",13678,153499,221,167398,36375,456151,225,492751,478730,2736906,2210,3217846,21031,215836,361,237228,457699,2521070,1849,2980618,0,0,0,0,0,100,457699,2521070,1849,2980618,-21031,-237228
Ranga Reddy,"January, 2018",35333,482639,45,518017,92974,1632640,58,1725672,1236655,9795840,450,11032945,117868,1223603,119,1341590,1118787,8572237,331,9691355,0,0,0,0,0,100,1118787,8572225,331,9691343,-117868,-1341602
Sangareddy,"January, 2018",27097,333799,116,361012,70768,1132572,119,1203459,948395,6795432,1160,7744987,47609,664344,120,712073,900786,6131088,1040,7032914,0,0,0,0,0,100,900786,6131088,1040,7032914,-47609,-712073
Siddipet,"January, 2018",18837,262522,92,281451,52327,835263,96,887686,659295,5011578,920,5671793,23058,365606,70,388734,636237,4645972,850,5283059,0,0,0,0,0,100,636237,4645972,850,5283059,-23058,-388734
Suryapet,"January, 2018",18795,288558,50,307403,50271,855034,51,905356,657825,5130204,500,5788529,4245,282772,40,287057,653580,4847432,460,5501472,0,0,0,0,0,100,653580,4847432,460,5501472,-4245,-287057
Vikarabad,"January, 2018",26767,204448,42,231257,74071,730466,48,804585,936845,4382796,420,5320061,55520,392766,70,448356,881325,3990030,350,4871705,0,0,0,0,0,100,881325,3990030,350,4871705,-55520,-448356
Wanaparthy,"January, 2018",9815,140699,121,150635,28715,482798,130,511643,343525,2896788,1210,3241523,0,5522,0,5522,343525,2891266,1210,3236001,0,0,0,0,0,100,343525,2891266,1210,3236001,0,-5522
Warangal,"January, 2018",12164,240492,22,252678,33850,733145,22,767017,425740,4398870,220,4824830,35691,711368,30,747089,390049,3687502,190,4077741,0,0,0,0,0,100,390049,3687502,190,4077741,-35691,-747089
Warangal Rural,"January, 2018",12179,206011,15,218205,31646,620683,18,652347,426265,3724098,150,4150513,33574,522872,30,556476,392691,3201226,120,3594037,0,0,0,0,0,100,392691,3201226,120,3594037,-33574,-556476
Yadadri Bhuvanagiri,"January, 2018",13181,190956,0,204137,35744,604682,0,640426,461335,3628092,0,4089427,1190,21849,0,23039,460145,3606243,0,4066388,0,0,0,0,0,100,460145,3606243,0,4066388,-1190,-23039
Total,"January, 2018",551628,7978467,6205,8536300,1502627,25931930,6410,27440967,19306980,155591580,62050,174960610,1105423,13182917,8714,14297054,18201557,142408663,53336,160663556,,0,0,0,0,,18201557,142408651,53336,160663544,-1105423,-14297066
Adilabad,"January, 2019",12914,172065,276,185255,39560,600418,281,640259,451990,3602508,2760,4057258,14325,176230,394,190949,437665,3426278,2366,3866309,0,0,0,0,0,100,437665,3426278,2366,3866309,-14325,-190949
Bhadrdri Kothagudem,"January, 2019",17570,260279,4,277853,46635,776572,4,823211,614950,4659432,40,5274422,64502,620306,0,684808,550448,4039126,40,4589614,0,0,0,0,0,100,550448,4039126,40,4589614,-64502,-684808
Hyderabad,"January, 2019",30649,537852,1435,569936,81211,2050465,1479,2133155,1072715,12302790,14350,13389855,150099,1168037,3798,1321934,922616,11134753,10552,12067921,0,0,0,0,0,100,922616,11134753,10552,12067921,-150099,-1321934
Jagityal,"January, 2019",14655,287165,166,301986,37753,846903,178,884834,512925,5081418,1660,5596003,22609,357065,270,379944,490316,4724353,1390,5216059,0,0,0,0,0,100,490316,4724353,1390,5216059,-22609,-379944
Janagaon,"January, 2019",10614,154940,104,165658,31822,489618,110,521550,371490,2937708,1040,3310238,39720,404260,240,444220,331770,2533448,800,2866018,0,0,0,0,0,100,331770,2533448,800,2866018,-39720,-444220
Jayashankar,"January, 2019",17091,194998,44,212133,43278,566634,44,609956,598185,3399804,440,3998429,48974,422221,90,471285,549211,2977583,350,3527144,0,0,0,0,0,100,549211,2977583,350,3527144,-48974,-471285
Jogulamba Gadwal,"January, 2019",10165,144028,142,154335,27315,515923,147,543385,355775,3095538,1420,3452733,29297,315024,360,344681,326478,2780514,1060,3108052,0,0,0,0,0,100,326478,2780514,1060,3108052,-29297,-344681
Kamareddy,"January, 2019",16335,230877,1094,248306,46613,823128,1122,870863,571725,4938768,10940,5521433,30552,316785,1570,348907,541173,4621983,9370,5172526,0,0,0,0,0,100,541173,4621983,9370,5172526,-30552,-348907
Karimnagar,"January, 2019",15966,256845,49,272860,41457,776037,50,817544,558810,4656222,490,5215522,31519,404932,116,436567,527291,4251290,374,4778955,0,0,0,0,0,100,527291,4251290,374,4778955,-31519,-436567
Khammam,"January, 2019",26569,378126,2,404697,71743,1077712,4,1149459,929915,6466272,20,7396207,129503,941681,0,1071184,800412,5524591,20,6325023,0,0,0,0,0,100,800412,5524591,20,6325023,-129503,-1071184
Kumarambheem,"January, 2019",12089,124323,23,136435,40175,425607,26,465808,423115,2553642,230,2976987,16107,143775,20,159902,407008,2409867,210,2817085,0,0,0,0,0,100,407008,2409867,210,2817085,-16107,-159902
Mahabubabad,"January, 2019",14671,218415,2,233088,39902,665425,5,705332,513485,3992550,20,4506055,113326,844431,0,957757,400159,3148119,20,3548298,0,0,0,0,0,100,400159,3148119,20,3548298,-113326,-957757
Mahbubnagar,"January, 2019",27984,344711,269,372964,73554,1247397,315,1321266,979440,7484382,2690,8466512,141043,954475,878,1096396,838397,6529907,1812,7370116,0,0,0,0,0,100,838397,6529907,1812,7370116,-141043,-1096396
Manchiryala,"January, 2019",15043,198148,192,213383,45845,593668,193,639706,526505,3562008,1920,4090433,34226,360595,440,395261,492279,3201413,1480,3695172,0,0,0,0,0,100,492279,3201413,1480,3695172,-34226,-395261
Medak,"January, 2019",13013,197267,84,210364,34455,661932,85,696472,455455,3971592,840,4427887,30943,410564,160,441667,424512,3561028,680,3986220,0,0,0,0,0,100,424512,3561028,680,3986220,-30943,-441667
Medchal,"January, 2019",18327,469062,111,487500,45702,1572724,114,1618540,641445,9436344,1110,10078899,61743,826234,416,888393,579702,8610110,694,9190506,0,0,0,0,0,100,579702,8610110,694,9190506,-61743,-888393
Nagarkarnool,"January, 2019",17035,213265,42,230342,47148,706421,46,753615,596225,4238526,420,4835171,85262,674083,156,759501,510963,3564443,264,4075670,0,0,0,0,0,100,510963,3564443,264,4075670,-85262,-759501
Nalgonda,"January, 2019",28908,425038,73,454019,74339,1311374,74,1385787,1011780,7868244,730,8880754,109784,1256998,220,1367002,901996,6611246,510,7513752,0,0,0,0,0,100,901996,6611246,510,7513752,-109784,-1367002
Nirmal,"January, 2019",11770,188948,34,200752,36373,609134,34,645541,411950,3654804,340,4067094,12234,188974,70,201278,399716,3465830,270,3865816,0,0,0,0,0,100,399716,3465830,270,3865816,-12234,-201278
Nizamabad,"January, 2019",19991,359942,1150,381083,54858,1215574,1178,1271610,699685,7293444,11500,8004629,21990,336254,1460,359704,677695,6957190,10040,7644925,0,0,0,0,0,100,677695,6957190,10040,7644925,-21990,-359704
Peddapalli,"January, 2019",12400,202621,183,215204,33630,600755,193,634578,434000,3604530,1830,4040360,32934,359414,534,392882,401066,3245116,1296,3647478,0,0,0,0,0,100,401066,3245116,1296,3647478,-32934,-392882
Rajanna Siricilla,"January, 2019",13670,157824,219,171713,36145,464311,223,500679,478450,2785866,2190,3266506,27651,220360,420,248431,450799,2565506,1770,3018075,0,0,0,0,0,100,450799,2565506,1770,3018075,-27651,-248431
Ranga Reddy,"January, 2019",35209,483679,44,518932,92559,1634393,56,1727008,1232315,9806358,440,11039113,100114,813860,160,914134,1132201,8992498,280,10124979,0,0,0,0,0,100,1132201,8992486,280,10124967,-100114,-914146
Sangareddy,"January, 2019",27155,341556,115,368826,70986,1169250,120,1240356,950425,7015500,1150,7967075,54680,689311,190,744181,895745,6326189,960,7222894,0,0,0,0,0,100,895745,6326189,960,7222894,-54680,-744181
Siddipet,"January, 2019",18858,269043,93,287994,52060,855949,95,908104,660030,5135694,930,5796654,31051,390423,198,421672,628979,4745271,732,5374982,0,0,0,0,0,100,628979,4745271,732,5374982,-31051,-421672
Suryapet,"January, 2019",18773,293973,49,312795,50090,874838,50,924978,657055,5249028,490,5906573,100461,1045800,100,1146361,556594,4203228,390,4760212,0,0,0,0,0,100,556594,4203228,390,4760212,-100461,-1146361
Vikarabad,"January, 2019",26768,205963,42,232773,73851,734056,47,807954,936880,4404336,420,5341636,64481,414042,96,478619,872399,3990294,324,4863017,0,0,0,0,0,100,872399,3990294,324,4863017,-64481,-478619
Wanaparthy,"January, 2019",9833,142385,117,152335,28725,488470,128,517323,344155,2930820,1170,3276145,38193,353672,225,392090,305962,2577148,945,2884055,0,0,0,0,0,100,305962,2577148,945,2884055,-38193,-392090
Warangal,"January, 2019",12166,248465,22,260653,33651,757511,22,791184,425810,4545066,220,4971096,26649,408793,30,435472,399161,4136273,190,4535624,0,0,0,0,0,100,399161,4136273,190,4535624,-26649,-435472
Warangal Rural,"January, 2019",12163,206534,15,218712,31454,622715,18,654187,425705,3736290,150,4162145,50242,529477,20,579739,375463,3206813,130,3582406,0,0,0,0,0,100,375463,3206813,130,3582406,-50242,-579739
Yadadri Bhuvanagiri,"January, 2019",13148,190876,0,204024,35524,603844,0,639368,460180,3623064,0,4083244,30704,330212,0,360916,429476,3292852,0,3722328,0,0,0,0,0,100,429476,3292852,0,3722328,-30704,-360916
Total,"January, 2019",551502,8099213,6195,8656910,1498413,26338758,6441,27843612,19302570,158032548,61950,177397068,1744918,16678288,12631,18435837,17557652,141354260,49319,158961231,,0,0,0,0,,17557652,141354248,49319,158961219,-1744918,-18435849
Adilabad,"July, 2015",52559,687209,75,739843,164348,2176991,102,2341441,1839565,13061946,750,14902261,281,142780,0,143061,1839284,12919166,750,14759200,0,0,0,0,0,100,1839284,12919166,750,14759200,-281,-143061
