from_node,to_node,distance_km
godown_Nizamabad,shop_1802014,14.015
godown_Nizamabad,shop_1802015,16.218
godown_Nizamabad,shop_1802016,13.842
godown_Nizamabad,shop_1802017,17.982
godown_Nizamabad,shop_1802018,26.235
godown_Nizamabad,shop_1802019,21.745
godown_Nizamabad,shop_1802020,21.922
godown_Nizamabad,shop_1802023,10.578
godown_Nizamabad,shop_1802024,11.518
godown_Nizamabad,shop_1802026,117.006
godown_Nizamabad,shop_1802027,24.818
godown_Nizamabad,shop_1802028,20.977
godown_Nizamabad,shop_1802029,15.567
godown_Nizamabad,shop_1802030,16.354
godown_Nizamabad,shop_1802031,26.156
godown_Nizamabad,shop_1802032,22.056
godown_Nizamabad,shop_1802159,18.726
godown_Nizamabad,shop_1802160,21.354
godown_Nizamabad,shop_1802172,17.877
godown_Nizamabad,shop_1802173,17.458
godown_Nizamabad,shop_1802176,19.583
godown_Nizamabad,shop_1802177,14.448
godown_Nizamabad,shop_1802178,11.857
godown_Nizamabad,shop_1802179,14.89
godown_Nizamabad,shop_1802180,14.835
godown_Nizamabad,shop_1802181,14.871
godown_Nizamabad,shop_1803001,20.683
godown_Nizamabad,shop_1803002,17.408
godown_Nizamabad,shop_1803003,29.454
godown_Nizamabad,shop_1803004,24.838
godown_Nizamabad,shop_1803005,26.376
godown_Nizamabad,shop_1803006,22.952
godown_Nizamabad,shop_1803007,21.17
godown_Nizamabad,shop_1803008,24.035
godown_Nizamabad,shop_1803009,21.507
godown_Nizamabad,shop_1803010,24.185
godown_Nizamabad,shop_1803011,23.869
godown_Nizamabad,shop_1803012,24.08
godown_Nizamabad,shop_1803013,24.06
godown_Nizamabad,shop_1803014,28.426
godown_Nizamabad,shop_1803015,18.488
godown_Nizamabad,shop_1803016,18.794
godown_Nizamabad,shop_1803024,25.406
godown_Nizamabad,shop_1803029,26.413
godown_Nizamabad,shop_1803030,26.236
godown_Nizamabad,shop_1803033,26.45
godown_Nizamabad,shop_1803034,20.655
godown_Nizamabad,shop_1803035,18.06
godown_Nizamabad,shop_1803036,26.447
godown_Nizamabad,shop_1803037,24.305
godown_Nizamabad,shop_1803038,23.816
godown_Nizamabad,shop_1803039,23.959
godown_Nizamabad,shop_1803040,18.765
godown_Nizamabad,shop_1803041,19.022
godown_Nizamabad,shop_1803042,22.738
godown_Nizamabad,shop_1803043,23.998
godown_Nizamabad,shop_1803044,28.421
godown_Nizamabad,shop_1804001,24.488
godown_Nizamabad,shop_1804002,24.15
godown_Nizamabad,shop_1804003,24.516
